Customer ID,Churn,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Zip Code Population,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
9763-GRSKD,No,Male,37,No,No,Yes,Yes,2,IMGQKK8449,United States,California,Los Angeles,90012,"34.065875, -118.238728",34.065875,-118.238728,30596,1,Q3,Yes,1,13,Offer D,Yes,29.68,No,Yes,DSL,22,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,49.95,587.45,0.0,150,385.84,1123.29,3
7469-LKBCI,No,Male,21,Yes,No,No,No,0,ZVWRJR6977,United States,California,Los Angeles,90013,"34.044639, -118.240413",34.044639,-118.240413,9732,1,Q3,No,0,16,Offer D,Yes,32.62,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,18.95,326.8,0.0,0,521.92,848.72,3
8091-TTVAX,No,Male,39,No,No,Yes,No,0,SYXZXY1984,United States,California,Los Angeles,90014,"34.043144, -118.251977",34.043144,-118.251977,3524,1,Q3,Yes,7,58,Offer B,Yes,5.69,Yes,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,100.35,5681.1,0.0,0,330.02000000000004,6011.120000000001,3
0280-XJGEX,Yes,Male,38,No,No,No,Yes,1,YTSGZA8582,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,15140,1,Q3,No,0,49,,Yes,44.33,Yes,Yes,Fiber Optic,11,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,5036.3,0.0,0,2172.17,7208.47,1
5129-JLPIS,No,Male,27,Yes,No,No,No,0,WTXQXZ6641,United States,California,Los Angeles,90016,"34.028331, -118.354338",34.028331,-118.354338,46984,1,Q3,No,0,25,,Yes,10.4,No,Yes,Fiber Optic,48,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.5,2686.05,0.0,0,260.0,2946.05,3
3655-SNQYZ,No,Female,48,No,No,Yes,No,0,YPDLML4591,United States,California,Los Angeles,90017,"34.052842, -118.264495",34.052842,-118.264495,20692,1,Q3,Yes,7,69,Offer A,Yes,33.23,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,113.25,7895.15,0.0,0,2292.87,10188.02,4
8191-XWSZG,No,Female,57,No,No,No,No,0,SQJQYI9361,United States,California,Los Angeles,90018,"34.028735, -118.317236",34.028735,-118.317236,47143,1,Q3,No,0,52,Offer B,Yes,22.55,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,20.65,1022.95,0.0,0,1172.6000000000001,2195.55,4
9959-WOFKT,No,Male,61,No,No,No,No,0,UYKWSP1476,United States,California,Los Angeles,90019,"34.049841, -118.33846",34.049841,-118.33846,67520,1,Q3,No,0,71,,Yes,14.67,Yes,Yes,Fiber Optic,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,106.7,7382.25,0.0,0,1041.57,8423.82,3
4190-MFLUW,Yes,Female,21,Yes,No,Yes,No,0,KOMIRT9587,United States,California,San Diego,92121,"32.898613, -117.202937",32.898613,-117.202937,4258,1,Q3,Yes,6,10,,Yes,9.41,No,Yes,Cable,69,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,55.2,528.35,0.0,0,94.1,622.45,1
4183-MYFRB,No,Female,30,No,No,No,No,0,RHIMQM3989,United States,California,Los Angeles,90021,"34.029043, -118.239504",34.029043,-118.239504,3012,1,Q3,No,0,21,Offer D,Yes,6.49,No,Yes,Fiber Optic,73,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.05,1862.9,0.0,30,136.29,2029.19,3
8779-QRDMV,Yes,Male,78,No,Yes,No,No,0,OXCZEW7397,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,68701,1,Q3,No,0,1,,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3
1680-VDCWW,No,Male,45,No,No,Yes,No,0,EGFJXV8978,United States,California,Los Angeles,90023,"34.017697, -118.200577",34.017697,-118.200577,47487,1,Q3,Yes,10,12,Offer D,Yes,11.04,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.8,202.25,0.0,0,132.48,334.73,4
1066-JKSGK,Yes,Male,29,Yes,No,No,No,0,JCBHAM3275,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,44150,1,Q3,No,0,1,,Yes,33.58,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.15,20.15,0.0,0,33.58,53.73,1
3638-WEABW,No,Female,25,Yes,No,Yes,No,0,AWYYTA6439,United States,California,Los Angeles,90025,"34.046174, -118.446333",34.046174,-118.446333,41175,1,Q3,Yes,1,58,Offer B,Yes,48.98,Yes,Yes,Cable,76,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,59.9,3505.1,0.0,0,2840.8399999999997,6345.94,3
6322-HRPFA,No,Male,42,No,No,Yes,Yes,2,SGWJUP9693,United States,California,Los Angeles,90026,"34.078991, -118.263804",34.078991,-118.263804,73686,1,Q3,Yes,3,49,Offer B,Yes,5.29,No,Yes,Cable,30,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,59.6,2970.3,0.0,0,259.21,3229.51,3
6865-JZNKO,No,Female,25,Yes,No,No,No,0,CIWTLB9771,United States,California,Los Angeles,90027,"34.127194, -118.295647",34.127194,-118.295647,48727,1,Q3,No,0,30,,Yes,19.41,No,Yes,Cable,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,1530.6,0.0,0,582.3,2112.8999999999996,4
6467-CHFZW,Yes,Male,61,No,No,Yes,Yes,1,JTZSGZ3269,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,30568,1,Q3,Yes,1,47,,Yes,31.35,Yes,Yes,Fiber Optic,16,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.35,4749.15,0.0,0,1473.45,6222.599999999999,1
8665-UTDHZ,Yes,Male,27,Yes,No,Yes,No,0,LQRUCI7526,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,41713,1,Q3,Yes,1,1,,No,0.0,No,Yes,DSL,58,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.2,30.2,0.0,0,0.0,30.2,1
5248-YGIJN,No,Male,36,No,No,Yes,No,0,UZIKCR3845,United States,California,Los Angeles,90031,"34.085807, -118.206617",34.085807,-118.206617,38415,1,Q3,Yes,9,72,,Yes,10.92,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.25,6369.45,0.0,0,786.24,7155.69,3
8773-HHUOZ,Yes,Female,20,Yes,No,No,No,0,LDBYYV7898,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,46960,1,Q3,No,0,17,,Yes,40.55,No,Yes,Cable,41,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,64.7,1093.1,0.0,0,689.3499999999999,1782.4499999999998,1
3841-NFECX,No,Female,69,No,Yes,Yes,No,0,FNYOEC7599,United States,California,Los Angeles,90033,"34.050198, -118.210946",34.050198,-118.210946,49431,1,Q3,Yes,3,71,,Yes,47.02,Yes,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,96.35,6766.95,0.0,0,3338.42,10105.369999999999,4
4929-XIHVW,No,Male,79,No,Yes,Yes,No,0,KHEXXG8244,United States,California,Los Angeles,90034,"34.030578, -118.399613",34.030578,-118.399613,58218,1,Q3,Yes,10,2,Offer E,Yes,33.1,No,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,No,No,One Year,Yes,Credit Card,95.5,181.65,0.0,10,66.2,257.85,5
6827-IEAUQ,No,Female,46,No,No,Yes,No,0,YPYPEY7772,United States,California,Los Angeles,90035,"34.051809, -118.383843",34.051809,-118.383843,27799,1,Q3,Yes,5,27,,Yes,40.21,No,Yes,DSL,13,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,66.15,1874.45,0.0,0,1085.67,2960.12,3
7310-EGVHZ,No,Male,35,No,No,No,No,0,OIQEPN5929,United States,California,Los Angeles,90036,"34.070291, -118.349191",34.070291,-118.349191,32901,1,Q3,No,0,1,Offer E,Yes,24.48,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.2,20.2,0.0,0,24.48,44.68,5
3413-BMNZE,No,Male,71,No,Yes,No,No,0,GWBJAU7774,United States,California,Los Angeles,90037,"34.002642, -118.287596",34.002642,-118.287596,56709,1,Q3,No,0,1,Offer E,Yes,11.89,No,Yes,DSL,12,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,45.25,45.25,0.0,0,11.89,57.14,3
6234-RAAPL,No,Female,60,No,No,Yes,No,0,HJCCJV4663,United States,California,Los Angeles,90038,"34.088017, -118.327168",34.088017,-118.327168,32562,1,Q3,Yes,7,72,,Yes,23.66,Yes,Yes,Fiber Optic,26,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,99.9,7251.7,0.0,0,1703.52,8955.22,4
6047-YHPVI,Yes,Male,56,No,No,No,Yes,3,PIUAEO8249,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,29310,1,Q3,No,0,5,,Yes,12.6,No,Yes,Fiber Optic,58,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.7,316.9,0.0,0,63.0,379.9,1
6572-ADKRS,No,Female,19,Yes,No,No,No,0,YFLUAY2613,United States,California,Los Angeles,90040,"33.994524, -118.149953",33.994524,-118.149953,9805,1,Q3,No,0,46,Offer B,Yes,42.44,No,Yes,Fiber Optic,69,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.8,3548.3,0.0,0,1952.2399999999998,5500.54,3
5380-WJKOV,Yes,Male,51,No,No,No,Yes,1,IUIIMY2813,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,27866,1,Q3,No,0,34,Offer C,Yes,21.69,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.35,3549.25,0.0,0,737.46,4286.71,2
8168-UQWWF,Yes,Female,48,No,No,No,Yes,2,MWLGBW5553,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,64672,1,Q3,No,0,11,,Yes,27.57,Yes,Yes,Cable,18,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.85,1105.4,0.0,0,303.27,1408.67,3
8865-TNMNX,No,Male,53,No,No,Yes,No,0,SBWGSZ4926,United States,California,Los Angeles,90043,"33.988543, -118.334081",33.988543,-118.334081,44764,1,Q3,Yes,6,10,Offer D,Yes,26.17,No,Yes,DSL,7,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,49.55,475.7,0.0,0,261.70000000000005,737.4000000000001,3
9489-DEDVP,No,Female,52,No,No,Yes,No,0,ATGCGO3724,United States,California,Los Angeles,90044,"33.952714, -118.292061",33.952714,-118.292061,87383,1,Q3,Yes,8,70,,Yes,29.38,Yes,Yes,DSL,23,Yes,Yes,No,No,Yes,No,No,No,Two Year,Yes,Credit Card,69.2,4872.35,0.0,80,2056.6,7008.950000000001,3
9867-JCZSP,No,Female,28,Yes,No,Yes,No,0,ZIOEZA9351,United States,California,Los Angeles,90045,"33.954017, -118.402447",33.954017,-118.402447,39334,1,Q3,Yes,8,17,Offer D,Yes,8.74,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.75,418.25,0.0,0,148.58,566.83,4
4671-VJLCL,No,Female,36,No,No,No,No,0,BYEWHB5926,United States,California,Los Angeles,90046,"34.108455, -118.362081",34.108455,-118.362081,49839,1,Q3,No,0,63,Offer B,Yes,12.82,Yes,Yes,DSL,17,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,79.85,4861.45,0.0,0,807.66,5669.11,3
4080-IIARD,No,Female,42,No,No,Yes,No,0,FGMNRN7653,United States,California,Los Angeles,90047,"33.958149, -118.308441",33.958149,-118.308441,47107,1,Q3,Yes,1,13,Offer D,Yes,11.79,Yes,Yes,DSL,29,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.2,981.45,0.0,0,153.26999999999998,1134.72,5
3714-NTNFO,No,Female,49,No,No,No,No,0,RTTXIP8116,United States,California,Los Angeles,90048,"34.072945, -118.37267",34.072945,-118.37267,21739,1,Q3,No,0,49,Offer B,Yes,27.2,Yes,Yes,Fiber Optic,24,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,3906.7,0.0,0,1332.8,5239.5,5
5948-UJZLF,No,Male,22,Yes,No,No,No,0,ODKPHY5718,United States,California,Los Angeles,90049,"34.091829, -118.491244",34.091829,-118.491244,33523,1,Q3,No,0,2,,Yes,40.75,No,Yes,DSL,71,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,49.25,97.0,0.0,0,81.5,178.5,5
7760-OYPDY,Yes,Female,32,No,No,No,Yes,2,THBNJO4877,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,8115,1,Q3,No,0,2,,Yes,5.85,No,Yes,Fiber Optic,19,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.65,144.15,0.0,20,11.7,175.85,1
7639-LIAYI,No,Male,23,Yes,No,No,No,0,NWKXTP8986,United States,California,Los Angeles,90057,"34.061918, -118.277939",34.061918,-118.277939,44004,1,Q3,No,0,52,Offer B,Yes,29.16,Yes,Yes,Cable,73,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,79.75,4217.8,0.0,0,1516.32,5734.12,4
2954-PIBKO,No,Female,64,No,No,Yes,No,0,IEMCVM9246,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617,-118.222274,3642,1,Q3,Yes,7,69,,Yes,39.88,Yes,Yes,Cable,17,Yes,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,64.15,4254.1,0.0,40,2751.7200000000003,7045.820000000001,3
8012-SOUDQ,No,Female,65,No,Yes,No,No,0,UDVSTD6787,United States,California,Los Angeles,90059,"33.927254, -118.249826",33.927254,-118.249826,38128,1,Q3,No,0,43,Offer B,Yes,12.58,Yes,Yes,Fiber Optic,26,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.25,3838.75,0.0,0,540.94,4379.6900000000005,4
9420-LOJKX,Yes,Female,34,No,No,No,Yes,1,WJYFNO3416,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,24511,1,Q3,No,0,15,,Yes,3.96,No,Yes,Fiber Optic,20,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.1,1426.4,0.0,0,59.4,1485.8000000000002,1
6575-SUVOI,No,Female,65,No,Yes,Yes,No,0,CVBTSQ5569,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933,29299,1,Q3,Yes,9,25,,Yes,30.6,Yes,Yes,DSL,2,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,69.5,1752.65,0.0,0,765.0,2517.65,4
7495-OOKFY,Yes,Female,74,No,Yes,Yes,Yes,1,FCCECI8494,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,55668,1,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3
4667-QONEA,No,Female,72,No,Yes,Yes,No,0,UNPTJJ5889,United States,California,Los Angeles,90064,"34.037251, -118.423573",34.037251,-118.423573,24505,1,Q3,Yes,9,60,Offer B,Yes,48.9,No,Yes,Cable,16,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,74.85,4456.35,0.0,0,2934.0,7390.35,3
1658-BYGOY,Yes,Male,71,No,Yes,No,Yes,3,HEHUQY7254,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,47534,1,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2
8769-KKTPH,No,Female,44,No,No,Yes,No,0,SYYAJH5278,United States,California,Los Angeles,90066,"34.002028, -118.430656",34.002028,-118.430656,55204,1,Q3,Yes,2,63,Offer B,Yes,1.43,Yes,Yes,Fiber Optic,16,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.65,6311.2,0.0,0,90.08999999999999,6401.29,3
5067-XJQFU,No,Male,77,No,Yes,Yes,No,0,YADNXY8115,United States,California,Los Angeles,90067,"34.057496, -118.413959",34.057496,-118.413959,2527,1,Q3,Yes,3,66,,Yes,21.79,Yes,Yes,Fiber Optic,9,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.45,7076.35,0.0,0,1438.1399999999999,8514.49,5
3957-SQXML,No,Female,61,No,No,Yes,No,0,XPHWUM1789,United States,California,Los Angeles,90068,"34.137411, -118.328915",34.137411,-118.328915,21728,1,Q3,Yes,10,34,,Yes,25.21,Yes,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.95,894.3,0.0,0,857.14,1751.44,3
5954-BDFSG,No,Female,40,No,No,No,No,0,GIMRQZ5519,United States,California,West Hollywood,90069,"34.093781, -118.381061",34.093781,-118.381061,20408,1,Q3,No,0,72,,Yes,9.47,Yes,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,107.5,7853.7,0.0,60,681.84,8595.539999999999,3
0434-CSFON,No,Female,34,No,No,Yes,No,0,CLRFWR3874,United States,California,Los Angeles,90071,"34.052917, -118.255178",34.052917,-118.255178,21,1,Q3,Yes,3,47,Offer B,Yes,38.15,Yes,Yes,Fiber Optic,14,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,4707.1,0.0,0,1793.05,6500.150000000001,3
1215-FIGMP,No,Male,27,Yes,No,No,No,0,AMGLAK6286,United States,California,Los Angeles,90077,"34.102084, -118.451629",34.102084,-118.451629,10470,1,Q3,No,0,60,Offer B,Yes,42.88,Yes,Yes,Fiber Optic,52,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,5450.7,0.0,0,2572.8,8023.5,3
0526-SXDJP,No,Male,36,No,No,Yes,No,0,GTSNQN5478,United States,California,Bell,90201,"33.970343, -118.171368",33.970343,-118.171368,105285,1,Q3,Yes,7,72,Offer A,No,0.0,No,Yes,Cable,17,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,42.1,2962.0,0.0,0,0.0,2962.0,4
0557-ASKVU,No,Female,43,No,No,Yes,No,0,JLIRNI7455,United States,California,Beverly Hills,90210,"34.099891, -118.414338",34.099891,-118.414338,21397,1,Q3,Yes,2,18,Offer D,Yes,44.97,No,Yes,Cable,7,No,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,54.4,957.1,0.0,0,809.46,1766.56,5
5698-BQJOH,Yes,Female,41,No,No,No,Yes,2,TXSTEZ1633,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,8321,1,Q3,No,0,9,,Yes,27.21,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.4,857.25,0.0,0,244.89000000000001,1102.14,3
5122-CYFXA,No,Female,53,No,No,No,No,0,VWMQZX8232,United States,California,Beverly Hills,90212,"34.062095, -118.401508",34.062095,-118.401508,11355,1,Q3,No,0,3,Offer E,Yes,38.99,No,Yes,DSL,20,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.3,244.1,0.0,0,116.97,361.07,3
8627-ZYGSZ,No,Male,32,No,No,Yes,No,0,WEXJIO8744,United States,California,Compton,90220,"33.88151, -118.234451",33.88151,-118.234451,47305,1,Q3,Yes,8,47,Offer B,Yes,39.52,Yes,Yes,Fiber Optic,30,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,78.9,3650.35,0.0,0,1857.44,5507.79,5
3410-YOQBQ,No,Female,61,No,No,No,No,0,TYYKMA6347,United States,California,Compton,90221,"33.885811, -118.206459",33.885811,-118.206459,51387,1,Q3,No,0,31,,Yes,25.57,No,Yes,DSL,27,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,79.2,2497.2,0.0,70,792.67,3359.87,5
3170-NMYVV,No,Female,37,No,No,Yes,No,0,YYIINV2569,United States,California,Compton,90222,"33.912246, -118.236773",33.912246,-118.236773,29825,1,Q3,Yes,5,50,Offer B,Yes,26.95,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.15,930.9,0.0,0,1347.5,2278.4,4
7410-OIEDU,No,Male,29,Yes,No,No,No,0,CXVBGH9943,United States,California,Culver City,90230,"33.993991, -118.39704",33.993991,-118.39704,31963,1,Q3,No,0,10,,Yes,48.38,No,Yes,Fiber Optic,42,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.85,887.35,0.0,0,483.8,1371.15,3
2273-QCKXA,No,Male,39,No,No,No,No,0,TNLPPY8136,United States,California,Culver City,90232,"34.019323, -118.391902",34.019323,-118.391902,15195,1,Q3,No,0,1,,Yes,25.77,No,Yes,Cable,5,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,49.05,49.05,0.0,0,25.77,74.82,3
0731-EBJQB,No,Female,24,Yes,No,Yes,No,0,TCHEKI8698,United States,California,Downey,90240,"33.956228, -118.120993",33.956228,-118.120993,24908,1,Q3,Yes,3,52,Offer B,Yes,5.65,No,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.4,1090.65,0.0,0,293.8,1384.45,3
